,VALUEMWHMETERINGDATA_customerES_1,VALUEMWHMETERINGDATA_customerES_100,VALUEMWHMETERINGDATA_customerES_104,VALUEMWHMETERINGDATA_customerES_107,VALUEMWHMETERINGDATA_customerES_109,VALUEMWHMETERINGDATA_customerES_11,VALUEMWHMETERINGDATA_customerES_114,VALUEMWHMETERINGDATA_customerES_115,VALUEMWHMETERINGDATA_customerES_117,VALUEMWHMETERINGDATA_customerES_126,VALUEMWHMETERINGDATA_customerES_127,VALUEMWHMETERINGDATA_customerES_129,VALUEMWHMETERINGDATA_customerES_130,VALUEMWHMETERINGDATA_customerES_140,VALUEMWHMETERINGDATA_customerES_143,VALUEMWHMETERINGDATA_customerES_148,VALUEMWHMETERINGDATA_customerES_151,VALUEMWHMETERINGDATA_customerES_154,VALUEMWHMETERINGDATA_customerES_162,VALUEMWHMETERINGDATA_customerES_164,VALUEMWHMETERINGDATA_customerES_167,VALUEMWHMETERINGDATA_customerES_169,VALUEMWHMETERINGDATA_customerES_175,VALUEMWHMETERINGDATA_customerES_179,VALUEMWHMETERINGDATA_customerES_180,VALUEMWHMETERINGDATA_customerES_182,VALUEMWHMETERINGDATA_customerES_183,VALUEMWHMETERINGDATA_customerES_186,VALUEMWHMETERINGDATA_customerES_188,VALUEMWHMETERINGDATA_customerES_19,VALUEMWHMETERINGDATA_customerES_190,VALUEMWHMETERINGDATA_customerES_199,VALUEMWHMETERINGDATA_customerES_2,VALUEMWHMETERINGDATA_customerES_201,VALUEMWHMETERINGDATA_customerES_202,VALUEMWHMETERINGDATA_customerES_207,VALUEMWHMETERINGDATA_customerES_209,VALUEMWHMETERINGDATA_customerES_210,VALUEMWHMETERINGDATA_customerES_213,VALUEMWHMETERINGDATA_customerES_214,VALUEMWHMETERINGDATA_customerES_216,VALUEMWHMETERINGDATA_customerES_225,VALUEMWHMETERINGDATA_customerES_226,VALUEMWHMETERINGDATA_customerES_232,VALUEMWHMETERINGDATA_customerES_234,VALUEMWHMETERINGDATA_customerES_242,VALUEMWHMETERINGDATA_customerES_244,VALUEMWHMETERINGDATA_customerES_247,VALUEMWHMETERINGDATA_customerES_263,VALUEMWHMETERINGDATA_customerES_265,VALUEMWHMETERINGDATA_customerES_266,VALUEMWHMETERINGDATA_customerES_267,VALUEMWHMETERINGDATA_customerES_269,VALUEMWHMETERINGDATA_customerES_270,VALUEMWHMETERINGDATA_customerES_273,VALUEMWHMETERINGDATA_customerES_274,VALUEMWHMETERINGDATA_customerES_282,VALUEMWHMETERINGDATA_customerES_297,VALUEMWHMETERINGDATA_customerES_298,VALUEMWHMETERINGDATA_customerES_30,VALUEMWHMETERINGDATA_customerES_300,VALUEMWHMETERINGDATA_customerES_307,VALUEMWHMETERINGDATA_customerES_31,VALUEMWHMETERINGDATA_customerES_311,VALUEMWHMETERINGDATA_customerES_312,VALUEMWHMETERINGDATA_customerES_313,VALUEMWHMETERINGDATA_customerES_334,VALUEMWHMETERINGDATA_customerES_335,VALUEMWHMETERINGDATA_customerES_336,VALUEMWHMETERINGDATA_customerES_39,VALUEMWHMETERINGDATA_customerES_40,VALUEMWHMETERINGDATA_customerES_44,VALUEMWHMETERINGDATA_customerES_45,VALUEMWHMETERINGDATA_customerES_46,VALUEMWHMETERINGDATA_customerES_48,VALUEMWHMETERINGDATA_customerES_5,VALUEMWHMETERINGDATA_customerES_59,VALUEMWHMETERINGDATA_customerES_60,VALUEMWHMETERINGDATA_customerES_61,VALUEMWHMETERINGDATA_customerES_62,VALUEMWHMETERINGDATA_customerES_63,VALUEMWHMETERINGDATA_customerES_64,VALUEMWHMETERINGDATA_customerES_66,VALUEMWHMETERINGDATA_customerES_67,VALUEMWHMETERINGDATA_customerES_69,VALUEMWHMETERINGDATA_customerES_70,VALUEMWHMETERINGDATA_customerES_72,VALUEMWHMETERINGDATA_customerES_74,VALUEMWHMETERINGDATA_customerES_76,VALUEMWHMETERINGDATA_customerES_80,VALUEMWHMETERINGDATA_customerES_89,VALUEMWHMETERINGDATA_customerES_90,VALUEMWHMETERINGDATA_customerES_92,VALUEMWHMETERINGDATA_customerES_93,VALUEMWHMETERINGDATA_customerES_94,VALUEMWHMETERINGDATA_customerES_96,VALUEMWHMETERINGDATA_customerES_97,VALUEMWHMETERINGDATA_customerES_98
22652,0.0012999872,0.030971168,0.03349141,0.014913794,0.0549371,0.01232117,2.2874906,0.6367041,0.041865315,0.0029556092,0.00039076718,0.055557806,0.16574354,0.28096366,0.4643778,0.029621856,0.08493501,0.015273083,0.043834075,0.022156069,0.02653997,0.056875274,3.233021e-05,0.038500067,0.0035950004,0.017388208,0.0,0.00010420032,0.00014396691,3.4646976,0.09701413,0.0008222582,0.00036259094,0.0008788801,0.17299663,0.88204837,0.49957904,0.31615275,0.48299122,0.0010053258,0.00069109566,0.0003596404,0.00033794562,1.9732739,0.000501231,0.01732496,0.40956092,0.0011310749,0.058449257,0.20370549,1.7189189,1.3142011,0.0075556706,0.002708049,0.23612231,0.017183645,0.21055599,0.009807436,0.8641086,0.02048364,0.0027236452,2.3449175,0.009241462,0.055538986,0.006484022,0.049290728,0.089543745,0.04166564,0.14468291,0.05418627,0.024536759,0.17169088,0.21849854,1.2037022,0.014556635,0.02318971,3.892752e-06,0.07213054,0.8213988,0.36852401,0.20465821,0.72510886,0.020862123,1.2478833,0.13896891,4.562508,1.6164368,1.7198519,0.195518,3.348088,1.6678537,0.3565319,2.5908105,0.00021364779,0.0012495943,0.02414135,0.07708263,0.020657375
22653,0.0013662028,0.030278543,0.0257155,0.01426941,0.058615003,0.013733338,2.3742337,0.78182775,0.046242442,0.004691687,0.0002343015,0.11456566,0.14984797,0.34231544,0.54601234,0.030461747,0.0920698,0.01418635,0.06074487,0.010533539,0.03156637,0.056828916,3.233021e-05,0.038262833,0.0047949175,0.016434427,0.0,0.0003868433,5.318824e-05,3.1288981,0.10351658,0.0006238909,0.00020368444,0.00035685618,0.17082214,0.8910672,0.6917065,0.35079595,0.4788713,0.00067648734,0.0011477468,0.00017738779,0.00014423233,1.8959264,0.000112732334,0.012348436,0.27171326,0.0010938994,0.06211133,0.17178026,1.8631128,1.4539288,0.008227909,0.009307706,0.24017921,0.013966714,0.21910632,0.0075033945,1.0388981,0.0159481,0.002382185,1.662944,0.012411202,0.22225177,0.003649848,0.03660236,0.09588522,0.039508324,0.15019348,0.08073207,0.028958054,0.16557834,0.23595124,1.1751353,0.015291141,0.020605374,3.892752e-06,0.24138534,0.84291923,0.47511172,0.20877458,0.79825455,0.02578836,1.1770734,0.32499406,4.6293015,1.7919048,1.490989,0.2628313,2.596675,1.9035715,0.40935397,2.489742,0.00020014426,0.0010008455,0.025487605,0.122043796,0.009280598
22654,0.0014163918,0.030084519,0.026105462,0.014137665,0.057087075,0.013691267,2.9782143,0.7506018,0.044701133,0.0046190717,0.00022123483,0.117612176,0.124067396,0.34586832,0.5491015,0.0320166,0.09611878,0.013566484,0.047158126,0.007565541,0.0309921,0.05936584,3.233021e-05,0.04320578,0.0042310106,0.017380241,0.0,0.00035993257,5.318824e-05,3.092306,0.10459733,0.0006503218,0.00018936991,0.0002913641,0.1747927,0.89077604,0.7126904,0.33344793,0.47571573,0.00067648734,0.0010980875,0.00016264447,0.00013635031,1.92245,0.000112732334,0.011695097,0.27474037,0.0010810886,0.06150907,0.17515916,1.6360612,1.4155377,0.007834534,0.009353464,0.23299308,0.013460388,0.17841133,0.007365486,0.96497697,0.016350007,0.0022728702,1.6474818,0.010833762,0.37226403,0.0036025152,0.03670964,0.094727166,0.037144534,0.14026308,0.07869514,0.028189749,0.1794159,0.21949258,0.9881952,0.016133577,0.02021383,3.892752e-06,0.30067775,0.8547844,0.5204234,0.2329562,0.7985,0.026361778,1.3174067,0.40741423,4.7954426,1.8163776,1.4885726,0.26271424,2.5870655,1.8571993,0.37108642,2.4898965,0.00020014426,0.0010111524,0.025559051,0.09040921,0.012377123
22655,0.0013397564,0.030186893,0.027197951,0.013767803,0.05650704,0.013953916,2.9080255,0.78044266,0.045033265,0.0044741067,0.00020555631,0.108586155,0.13923633,0.3346473,0.53878754,0.031367157,0.09463306,0.014783182,0.04507103,0.008273646,0.028522763,0.05516368,3.233021e-05,0.07864153,0.0044561285,0.0167188,0.0,0.00035993257,5.318824e-05,2.9788437,0.09711086,0.00068115257,0.00017488952,0.0002913641,0.1848306,0.9178484,1.0673721,0.34497258,0.42654708,0.00067648734,0.0011098398,0.00016264447,0.00013635031,1.9173228,0.000112732334,0.011444689,0.2678352,0.0010810886,0.060758937,0.17368257,1.6956565,1.5271614,0.00808373,0.0093290005,0.2288139,0.013566005,0.14359255,0.006747413,1.0354209,0.022076925,0.00226214,1.6580657,0.009448643,0.40976816,0.00350306,0.042007197,0.093218885,0.032551847,0.14234525,0.10231929,0.026060425,0.1673879,0.1855027,1.2884469,0.014090876,0.020352323,3.892752e-06,0.114998825,0.8434665,0.48106006,0.16907024,0.75413054,0.023620876,1.1979858,0.38644174,4.7176814,1.7291623,1.4474233,0.26056042,2.7099993,1.806041,0.2957844,2.466626,0.00020014426,0.00086849433,0.024986431,0.10409507,0.016064228
22656,0.0014520811,0.029340655,0.025930582,0.013525456,0.056442987,0.01456793,3.2672362,0.79087526,0.045795683,0.0026185918,0.00020555631,0.22492643,0.14978024,0.33333793,0.5376921,0.0328733,0.14650983,0.018187948,0.04655943,0.008609177,0.022154711,0.050932955,3.233021e-05,0.10862568,0.0074628484,0.01726538,0.0,0.00023170238,5.318824e-05,2.9477813,0.09368345,0.00063364,0.00017488952,0.0003243557,0.12617657,0.9714434,1.1750761,0.33390808,0.4053517,0.00067648734,0.0011765659,0.00016264447,0.00013635031,1.8000814,0.000112732334,0.01624539,0.2689543,0.0010708657,0.05983008,0.17016548,1.5753777,1.5454254,0.007926694,0.009792922,0.20217773,0.01670228,0.15039712,0.0067717982,1.0559534,0.0154667795,0.0021047087,1.6435155,0.008098583,0.4261995,0.0035064053,0.0295199,0.09547355,0.03686391,0.14257044,0.22861198,0.025819652,0.18059017,0.22121269,1.2929933,0.01386437,0.017223703,3.892752e-06,0.24115476,0.83785975,0.47742614,0.17401676,0.7215106,0.021158267,1.226401,0.37862062,4.1268816,1.704158,1.4125975,0.21633716,2.7156563,1.7501465,0.28520167,2.5117404,0.00016990199,0.00086849433,0.022727076,0.08535019,0.081413195
22657,0.0014520811,0.025420826,0.028042575,0.013231663,0.057100877,0.013337673,3.1195858,0.787069,0.07144991,0.0043986854,0.00020555631,0.22610085,0.14401232,0.32841054,0.5001762,0.031261947,0.23063573,0.04896323,0.04589033,0.011065145,0.021078493,0.0552436,3.233021e-05,0.14889513,0.009318013,0.015728595,0.0,0.00035993257,5.318824e-05,3.096934,0.10175081,0.00063364,0.00017488952,0.00035531417,0.1736552,0.8563072,1.1219435,0.34736082,0.47033232,0.00067648734,0.0011879175,0.00016264447,0.00013635031,1.7879504,0.000112732334,0.015208555,0.25080246,0.0010708657,0.06360677,0.17868197,1.6196808,1.5822233,0.008884602,0.00957665,0.23722866,0.01867682,0.117398866,0.0066180956,1.0601794,0.01601528,0.002253025,1.7906715,0.008826231,0.39536354,0.0035748337,0.032146674,0.100132056,0.03513507,0.14304113,0.25624698,0.02589489,0.1720908,0.4092739,1.2533771,0.0141372215,0.017135467,3.892752e-06,0.25795522,0.8324494,0.44588226,0.19235271,0.7193886,0.020425439,1.2156047,0.37586334,4.5920753,1.7728552,1.4516262,0.21666129,2.9548979,1.5567425,0.30494085,2.5755656,0.00018511,0.00081985147,0.023755932,0.089979656,0.081284896
22658,0.0011468538,0.028396627,0.027330179,0.013808355,0.053133767,0.010285039,3.4077947,0.84510803,0.100767806,0.0042994963,0.00020555631,0.2744,0.18423635,0.35678124,0.5062867,0.03877338,0.2077476,0.06803918,0.049108543,0.016932731,0.030412972,0.060884345,3.233021e-05,0.15016,0.007783843,0.012380106,0.0,0.00040599497,5.318824e-05,2.9903576,0.11246627,0.00049567677,0.00017488952,0.00035531417,0.16306673,0.94893545,1.2272607,0.3772099,0.5538959,0.00067648734,0.0011477468,0.00017447362,0.00013635031,2.1338198,0.00010269317,0.017154058,0.28737792,0.0015472296,0.06139011,0.18199004,1.7056683,1.672021,0.011423378,0.009446152,0.1717054,0.038670715,0.2791069,0.015513828,0.87837905,0.016997283,0.0022686482,2.1830566,0.007963562,0.37029895,0.00367633,0.09155185,0.06414415,0.035522915,0.16589825,0.2758506,0.029137561,0.21364754,0.49230906,1.3420093,0.019320283,0.016337056,3.892752e-06,0.2339412,0.77213067,0.7272964,0.17397548,0.64769506,0.027188525,1.678117,0.35169068,4.5067015,1.7521336,1.411763,0.24417682,2.8952892,1.5401757,0.39188823,2.6200964,0.00017987014,0.00081071496,0.026520114,0.16176027,0.070768096
22659,0.0012449279,0.030295499,0.03250081,0.014096142,0.056548584,0.022650816,3.1746655,0.7535311,0.11341726,0.0048783794,0.00018221131,0.30511045,0.2607286,0.34342098,0.48007306,0.06460928,0.21807982,0.068670705,0.05016356,0.034016293,0.03058725,0.06679,3.233021e-05,0.1259509,0.011816157,0.014010057,0.0,0.0005961158,5.318824e-05,3.072746,0.116504155,0.0006312467,0.00017488952,0.00037300444,0.16254285,0.84670645,1.3878525,0.46437597,0.69921726,0.00069303834,0.00062498206,0.00017447362,0.00013635031,2.3083432,0.00013790384,0.020670434,0.284824,0.001608027,0.05948886,0.17702769,1.663213,1.9340577,0.013918185,0.0098845875,0.1708327,0.048100945,0.72439873,0.029102053,1.1727476,0.0115674585,0.0021684696,3.364824,0.007142385,0.5729828,0.0044831634,0.08771287,0.066928014,0.038578447,0.21747063,0.2873829,0.036657486,0.2334434,0.5912073,1.4384708,0.026561884,0.016326647,3.892752e-06,0.33003262,0.72083926,0.5570558,0.173705,0.7270963,0.028657647,1.773753,0.4291797,4.4106307,1.6947292,1.3043609,0.7102761,3.2556822,1.3152912,0.42276904,3.3458445,0.00023464728,0.0008877726,0.02324463,0.31289083,0.04996205
22660,0.0017413497,0.036959324,0.041558247,0.015073671,0.079794854,0.030109825,3.6782882,0.831318,0.09681488,0.0047882264,0.00019846333,0.36658078,0.28987762,0.34419402,0.4409229,0.08880326,0.23198755,0.065767564,0.070950456,0.028320847,0.036583565,0.071388185,3.233021e-05,0.15109488,0.012721763,0.018648645,0.0,0.0005961158,5.318824e-05,3.1385267,0.13323532,0.00072217477,0.0001900147,0.0006054193,0.17078632,0.9246701,1.3645339,0.3601715,0.6484826,0.0009345736,0.00062498206,0.00030840575,0.00016906015,2.2939122,0.00013790384,0.020090325,0.28930512,0.0013662416,0.018972144,0.15207267,1.3749781,1.9796954,0.01493624,0.0032294975,0.17469071,0.051975813,0.7665545,0.033584822,1.1690855,0.0128745735,0.002468529,3.0749872,0.0070113493,0.6587445,0.0046872045,0.07057456,0.07746896,0.04166959,0.22031395,0.28135252,0.0545862,0.23265491,0.63978595,1.4955412,0.023839302,0.018082745,3.892752e-06,0.3259773,0.69315016,0.7149313,0.15105946,0.7311521,0.029543905,1.9205126,0.43124902,4.536746,1.5875062,1.2833252,0.7736343,3.56178,1.5589653,0.449719,3.3942552,0.00026270756,0.0011201326,0.022343976,0.34338757,0.048116878
22661,0.004977701,0.028614206,0.05181233,0.012744223,0.081961684,0.033121787,3.1668847,0.37601468,0.11028053,0.0050767274,0.0002020899,0.2806915,0.18015619,0.21149129,0.36643967,0.077220626,0.18514502,0.06183765,0.06338668,0.044498526,0.029962892,0.06791356,3.233021e-05,0.14510183,0.027453106,0.025545428,0.0,0.0009885158,0.000106651845,3.300626,0.12602842,0.0017482663,0.00029671626,0.002422742,0.15702131,0.9709683,0.45769268,0.45940685,0.5583022,0.0017878095,0.0023104188,0.0004382872,0.00040455643,2.3591604,0.0005044274,0.052756224,0.47891974,0.001058659,-0.00057302165,0.019591333,2.0473387,1.9089348,0.0107454965,0.0001861524,0.15661064,0.045841154,0.88153553,0.031685326,0.9752619,0.040176515,0.0032705911,0.8344347,0.006837215,0.46761823,0.010159822,0.057928838,0.09044533,0.046131834,0.18793963,0.14077343,0.050365068,0.14938407,0.7056346,1.5476396,0.03407416,0.023360197,3.892752e-06,0.3473564,0.770873,0.774108,0.17073336,0.63771886,0.029881436,1.9884,0.5425783,4.3167634,1.6668655,1.2303822,0.74790484,3.262035,1.486738,0.2329343,3.0172982,0.0002673341,0.0013225612,0.02663951,0.24831536,0.04009666
